country,Richness,AvTD,Signicance
CHRISTMAS ISLAND,522,68.62,Average
COCOS (KEELING) ISLANDS,189,68.56,Average
ANTIGUA AND BARBUDA,1032,68.55,Average
CHAD,957,68.48,Average
UNITED STATES MINOR OUTLYING ISLANDS,219,68.39,Average
BOTSWANA,3006,68.35,Average
EQUATORIAL GUINEA,4426,68.22,Average
CHINA,32073,68.22,Average
MALI,1976,68.14,Average
SENEGAL,2503,68.11,Average
PORTUGAL,6330,68.09,Average
GERMANY,12531,67.91,Lower
CAMEROON,9227,67.91,Lower
CONGO,4250,67.9,Lower
AUSTRALIA,34400,67.86,Lower
NIGER,974,67.73,Lower
CENTRAL AFRICAN REPUBLIC,3529,67.64,Lower
SOUTH AFRICA,26105,67.6,Lower
LUXEMBOURG,2465,67.59,Lower
ETHIOPIA,6712,67.59,Lower
D. R. CONGO,9533,67.59,Lower
MEXICO,35182,67.51,Lower
POLAND,4313,67.5,Lower
MOZAMBIQUE,6068,67.49,Lower
BURKINA FASO,2911,67.43,Lower
BELGIUM,4752,67.42,Lower
NIGERIA,5061,67.41,Lower
BENIN,3716,67.32,Lower
CURACAO,864,67.22,Lower
CHILE,8571,67.11,Lower
CYPRUS,1811,67.07,Lower
UNITED STATES VIRGIN ISLANDS,1687,67.07,Lower
CZECH REPUBLIC,3147,67.02,Lower
FRANCE,17134,66.96,Lower
TAJIKISTAN,1709,66.71,Lower
BANGLADESH,2375,66.66,Lower
LITHUANIA,556,66.57,Lower
BELARUS,431,66.48,Lower
DENMARK,4456,66.32,Lower
NAMIBIA,5437,66.31,Lower
GAMBIA,408,66.19,Lower
BAHRAIN,231,66.12,Average
ICELAND,1260,66.12,Lower
SLOVENIA,2708,66.11,Lower
HUNGARY,4095,66.08,Lower
RUSSIAN FEDERATION,8906,66.03,Lower
NETHERLANDS,9034,65.95,Lower
TURKS AND CAICOS ISLANDS,535,65.95,Lower
ITALY,8998,65.74,Lower
OMAN,1670,65.72,Lower
BRITISH VIRGIN ISLANDS,718,65.6,Lower
SWEDEN,12439,65.51,Lower
SLOVAKIA,2967,65.47,Lower
GABON,6232,65.46,Lower
UZBEKISTAN,1387,65.45,Lower
ROMANIA,3702,65.45,Lower
SWITZERLAND,6042,65.37,Lower
ISRAEL,3653,65.33,Lower
ESTONIA,3678,65.25,Lower
TUNISIA,2873,65.24,Lower
CAYMAN ISLANDS,530,65.23,Lower
LIBYA,1484,65.21,Lower
MALTA,555,65.14,Lower
ANDORRA,2138,65.1,Lower
AUSTRIA,7137,65.04,Lower
YEMEN,2953,64.95,Lower
KYRGYZSTAN,1751,64.91,Lower
GIBRALTAR,197,64.81,Lower
FINLAND,3424,64.74,Lower
PAKISTAN,4585,64.72,Lower
MONTENEGRO,1191,64.64,Lower
GUINEA-BISSAU,1412,64.46,Lower
BULGARIA,3623,64.45,Lower
GREECE,7265,64.33,Lower
EGYPT,3022,64.32,Lower
ANGOLA,7479,64.31,Lower
NORWAY,5281,64.27,Lower
MONGOLIA,1756,64.21,Lower
PALESTINE,2576,64.19,Lower
MAURITANIA,968,64.18,Lower
QATAR,254,64.12,Lower
SERBIA,1142,64.06,Lower
SAUDI ARABIA,2818,64.04,Lower
LEBANON,2366,64.04,Lower
ARUBA,430,63.97,Lower
SAINT MARTIN (FRENCH PART),399,63.93,Lower
CROATIA,3237,63.81,Lower
SPAIN,17721,63.77,Lower
UKRAINE,3096,63.74,Lower
ALGERIA,4607,63.72,Lower
MACEDONIA,1431,63.71,Lower
MONACO,119,63.68,Lower
AFGHANISTAN,6849,63.62,Lower
IRAQ,2748,63.37,Lower
GEORGIA,3664,63.37,Lower
UNITED ARAB EMIRATES,616,63.37,Lower
JORDAN,2123,63.2,Lower
MOROCCO,6276,63.17,Lower
KAZAKHSTAN,2194,63.16,Lower
KUWAIT,322,63.11,Lower
